metric,value
timestamp_utc,2026-09-09T18:01:20.275048+00:00
distribution,"PRETTY_NAME=""Ubuntu 26.04.1 LTS""
NAME=""Ubuntu""
VERSION_ID=""26.04""
VERSION=""26.04.1 LTS (Resolute Raccoon)""
VERSION_CODENAME=resolute
ID=ubuntu
ID_LIKE=debian
HOME_URL=""https://www.ubuntu.com/""
SUPPORT_URL=""https://help.ubuntu.com/""
BUG_REPORT_URL=""https://bugs.launchpad.net/ubuntu/""
PRIVACY_POLICY_URL=""https://www.ubuntu.com/legal/terms-and-policies/privacy-policy""
UBUNTU_CODENAME=resolute
LOGO=ubuntu-logo"
os_kernel,Linux paulinhoh 6.18.40.1-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Fri Jul 31 22:12:15 UTC 2026 x86_64 GNU/Linux
cpu_details,"Architecture:                            x86_64
CPU op-mode(s):                          32-bit, 64-bit
Address sizes:                           39 bits physical, 48 bits virtual
Byte Order:                              Little Endian
CPU(s):                                  6
On-line CPU(s) list:                     0-5
Vendor ID:                               GenuineIntel
Model name:                              13th Gen Intel(R) Core(TM) i5-13420H
CPU family:                              6
Model:                                   186
Thread(s) per core:                      2
Core(s) per socket:                      3
Socket(s):                               1
Stepping:                                2
BogoMIPS:                                5222.39
Flags:                                   fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology tsc_reliable nonstop_tsc cpuid tsc_known_freq pni pclmulqdq vmx ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch ssbd ibrs ibpb stibp ibrs_enhanced tpr_shadow ept vpid ept_ad fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid rdseed adx smap clflushopt clwb sha_ni xsaveopt xsavec xgetbv1 xsaves avx_vnni vnmi umip waitpkg gfni vaes vpclmulqdq rdpid movdiri movdir64b fsrm md_clear serialize ibt flush_l1d arch_capabilities
Virtualization:                          VT-x
Hypervisor vendor:                       Microsoft
Virtualization type:                     full
L1d cache:                               144 KiB (3 instances)
L1i cache:                               96 KiB (3 instances)
L2 cache:                                3.8 MiB (3 instances)
L3 cache:                                12 MiB (1 instance)
NUMA node(s):                            1
NUMA node0 CPU(s):                       0-5
Vulnerability Gather data sampling:      Not affected
Vulnerability Ghostwrite:                Not affected
Vulnerability Indirect target selection: Not affected
Vulnerability Itlb multihit:             Not affected
Vulnerability L1tf:                      Not affected
Vulnerability Mds:                       Not affected
Vulnerability Meltdown:                  Not affected
Vulnerability Mmio stale data:           Not affected
Vulnerability Old microcode:             Not affected
Vulnerability Reg file data sampling:    Mitigation; Clear Register File
Vulnerability Retbleed:                  Mitigation; Enhanced IBRS
Vulnerability Spec rstack overflow:      Not affected
Vulnerability Spec store bypass:         Mitigation; Speculative Store Bypass disabled via prctl
Vulnerability Spectre v1:                Mitigation; usercopy/swapgs barriers and __user pointer sanitization
Vulnerability Spectre v2:                Mitigation; Enhanced / Automatic IBRS; IBPB conditional; PBRSB-eIBRS SW sequence; BHI BHI_DIS_S
Vulnerability Srbds:                     Not affected
Vulnerability Tsa:                       Not affected
Vulnerability Tsx async abort:           Not affected
Vulnerability Vmscape:                   Not affected"
cpu_threads,5
memory,"total        used        free      shared  buff/cache   available
Mem:            11Gi       4.5Gi       3.8Gi        25Mi       3.6Gi       7.2Gi
Swap:          3.0Gi          0B       3.0Gi"
storage_available,"Filesystem      Size  Used Avail Use% Mounted on
/dev/sdd       1007G  7.6G  949G   1% /"
block_devices,"NAME MAJ:MIN RM   SIZE RO TYPE MOUNTPOINTS
sda    8:0    0 722.9M  1 disk 
sdb    8:16   0  96.5M  1 disk 
sdc    8:32   0     3G  0 disk [SWAP]
sdd    8:48   0     1T  0 disk /mnt/wslg/distro
                               /"
gpu,no NVIDIA GPU detected
runtime,Ollama
runtime_version,ollama version is 0.33.3
models,"NAME                       ID              SIZE      MODIFIED     
nomic-embed-text:latest    0a109f422b47    274 MB    14 hours ago    
granite4.1:3b              6fd349357287    2.1 GB    14 hours ago"
python_version,3.14.4
strace_available,True
documents_and_index_bytes,299434
model_storage,2.3G	/usr/share/ollama/.ollama/models
execution_environment,WSL2/Linux (detected from uname)
