timestamp_utc,configuration,configuration_description,dataset,document_count,input_size,input_chars,repetition,concurrency,retrieved_chunks_k,status,startup_time_s,total_time_s,ttft_s,tokens_per_second,answer_chars,response_valid,evaluation_criterion,cpu_percent_ollama_python,ram_percent_ollama_python,processes_ollama_python,threads_ollama_python,storage_docs_faiss_bytes,model,embedding_model,runtime,runtime_version,python_version,error
2026-09-09T17:57:16.348769+00:00,padrao,"Base pequena, execucao sequencial com k=4",documentos_pequeno,5,curta,50,1,1,4,ok,service_already_running,14.3097,unavailable_cli_only,unavailable_cli_only,507,True,resposta nao vazia e sem erro de execucao,0.5,0.4,2,15,98190,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:57:26.114660+00:00,padrao,"Base pequena, execucao sequencial com k=4",documentos_pequeno,5,curta,50,2,1,4,ok,service_already_running,9.7351,unavailable_cli_only,unavailable_cli_only,491,True,resposta nao vazia e sem erro de execucao,0.2,0.4,2,15,98190,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:57:43.236466+00:00,padrao,"Base pequena, execucao sequencial com k=4",documentos_pequeno,5,longa,200,1,1,4,ok,service_already_running,17.0914,unavailable_cli_only,unavailable_cli_only,668,True,resposta nao vazia e sem erro de execucao,0.1,0.4,2,15,98190,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:57:55.295040+00:00,padrao,"Base pequena, execucao sequencial com k=4",documentos_pequeno,5,longa,200,2,1,4,ok,service_already_running,12.0322,unavailable_cli_only,unavailable_cli_only,679,True,resposta nao vazia e sem erro de execucao,0.0,0.4,2,15,98190,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:58:20.282016+00:00,concorrencia,"Base grande, duas requisicoes simultaneas com k=4",documentos_grande,15,curta,50,1,2,4,ok,service_already_running,12.5944,unavailable_cli_only,unavailable_cli_only,376,True,resposta nao vazia e sem erro de execucao,6.7,1.2,3,23,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:58:26.686325+00:00,concorrencia,"Base grande, duas requisicoes simultaneas com k=4",documentos_grande,15,curta,50,1,2,4,ok,service_already_running,18.9997,unavailable_cli_only,unavailable_cli_only,429,True,resposta nao vazia e sem erro de execucao,0.0,0.4,2,17,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:58:42.514149+00:00,concorrencia,"Base grande, duas requisicoes simultaneas com k=4",documentos_grande,15,curta,50,2,2,4,ok,service_already_running,15.7857,unavailable_cli_only,unavailable_cli_only,543,True,resposta nao vazia e sem erro de execucao,0.0,0.4,2,17,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:58:34.838640+00:00,concorrencia,"Base grande, duas requisicoes simultaneas com k=4",documentos_grande,15,curta,50,2,2,4,ok,service_already_running,8.1127,unavailable_cli_only,unavailable_cli_only,500,True,resposta nao vazia e sem erro de execucao,10.9,1.2,3,23,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:59:04.475727+00:00,concorrencia,"Base grande, duas requisicoes simultaneas com k=4",documentos_grande,15,longa,200,1,2,4,ok,service_already_running,21.9325,unavailable_cli_only,unavailable_cli_only,638,True,resposta nao vazia e sem erro de execucao,4.0,1.2,3,23,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:59:15.889241+00:00,concorrencia,"Base grande, duas requisicoes simultaneas com k=4",documentos_grande,15,longa,200,1,2,4,ok,service_already_running,33.3486,unavailable_cli_only,unavailable_cli_only,711,True,resposta nao vazia e sem erro de execucao,0.0,0.4,2,17,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:59:40.018502+00:00,concorrencia,"Base grande, duas requisicoes simultaneas com k=4",documentos_grande,15,longa,200,2,2,4,ok,service_already_running,24.092,unavailable_cli_only,unavailable_cli_only,677,True,resposta nao vazia e sem erro de execucao,0.0,0.4,2,17,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T17:59:28.479538+00:00,concorrencia,"Base grande, duas requisicoes simultaneas com k=4",documentos_grande,15,longa,200,2,2,4,ok,service_already_running,12.5501,unavailable_cli_only,unavailable_cli_only,633,True,resposta nao vazia e sem erro de execucao,7.0,1.2,3,23,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T18:00:00.514958+00:00,ajuste_contexto,"Base grande, execucao sequencial com contexto reduzido, k=2",documentos_grande,15,curta,50,1,1,2,ok,service_already_running,8.369,unavailable_cli_only,unavailable_cli_only,486,True,resposta nao vazia e sem erro de execucao,0.0,0.4,2,15,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T18:00:07.730598+00:00,ajuste_contexto,"Base grande, execucao sequencial com contexto reduzido, k=2",documentos_grande,15,curta,50,2,1,2,ok,service_already_running,7.1677,unavailable_cli_only,unavailable_cli_only,463,True,resposta nao vazia e sem erro de execucao,0.0,0.4,2,15,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T18:00:21.735574+00:00,ajuste_contexto,"Base grande, execucao sequencial com contexto reduzido, k=2",documentos_grande,15,longa,200,1,1,2,ok,service_already_running,13.9719,unavailable_cli_only,unavailable_cli_only,570,True,resposta nao vazia e sem erro de execucao,0.0,0.4,2,15,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
2026-09-09T18:00:33.906673+00:00,ajuste_contexto,"Base grande, execucao sequencial com contexto reduzido, k=2",documentos_grande,15,longa,200,2,1,2,ok,service_already_running,12.1293,unavailable_cli_only,unavailable_cli_only,570,True,resposta nao vazia e sem erro de execucao,0.0,0.4,2,15,299434,granite4.1:3b,nomic-embed-text,Ollama,ollama version is 0.33.3,3.14.4,
